ds,yhat,yhat_lower,yhat_upper,y
2024-11-15,468.2749168924977,109.3945370377457,848.5119460706223,195.2
2024-11-16,382.52713787479274,-8.549284593232716,769.5830091652462,483.8
2024-11-17,578.8504877856816,217.25730358991242,941.9971177770917,865.8
2024-11-18,524.8731095378491,157.73714415695193,907.9252550188388,416.2
2024-11-19,635.8481795134143,247.77544795736864,997.585188721679,880.4
2024-11-20,720.8082669665744,335.81242793548466,1084.528481683284,729.19
2024-11-21,848.2722655589486,452.46455318620116,1248.4578619357983,579.0
2024-11-22,1128.5643449764061,773.6466158533254,1519.584546227883,546.2
2024-11-23,1222.7761004393287,853.7705905578689,1606.2862952519479,1032.8
2024-11-24,1714.5860239948781,1332.4769505150837,2106.2341945367853,996.66
2024-11-25,1708.3770266465738,1334.393614611059,2062.3418262615246,2172.96
2024-11-26,1618.933092914976,1215.3458101898555,2018.803411476154,1580.72
2024-11-27,1591.0593510703284,1226.7075848559841,1958.7108472844773,1903.4
2024-11-28,1669.348890974805,1300.561310787212,2047.1399607899036,2658.6
2024-11-29,2759.8043175825705,2420.718404557765,3125.993671008147,2826.2
2024-11-30,2085.327188395904,1681.4771001645897,2464.130749618232,2111.84
2024-12-01,1868.0620880089643,1499.845607418018,2223.7903384863234,1873.3600000000001
2024-12-02,2241.8936819948676,1872.7504931845033,2592.4791998018272,2298.0
2024-12-03,1159.60781311559,804.1464962122978,1554.1169592240433,1014.8
2024-12-04,939.4186501617352,541.1145527280511,1329.2307658578463,369.8
2024-12-05,801.5073424119743,454.0188058255362,1181.9681947152678,611.4
2024-12-06,686.3026336360525,311.70886853299754,1073.189991151629,405.0
2024-12-07,542.6256481620558,140.27578054384625,898.9148198196635,539.4
2024-12-08,826.9420710903241,468.04622604361134,1198.4164215977607,1001.76
2024-12-09,889.3937243565043,527.2129403552716,1243.4358776682175,1137.84
2024-12-10,867.4037195871332,488.21496873914583,1212.2933579594103,1046.0
2024-12-11,859.9369468407912,475.7504246172903,1229.734179946585,861.4
2024-12-12,1010.8881307997293,623.891175565011,1397.654916252897,912.92
2024-12-13,1195.7404571358566,811.1711461364458,1584.292297936848,582.0
2024-12-14,1021.5451398927804,661.9983260143565,1392.822450729422,1365.4
2024-12-15,1170.1425514932605,823.5697605032577,1543.0818671160182,1513.2
2024-12-16,1124.7218730692557,754.199126726445,1527.0216795378315,990.12
2024-12-17,1128.808845367355,754.6548453836733,1507.0766210475217,1044.19
2024-12-18,963.2990912026844,615.134446017382,1340.0288854449927,558.0
2024-12-19,931.7289250520047,566.0565890352221,1314.836182867115,1959.2
2024-12-20,1121.7883646589348,755.1278007795994,1481.8207765661257,785.8
2024-12-21,869.1943297107777,519.4102527862999,1258.694124388967,764.8
2024-12-22,1137.3788708522077,785.7712717971634,1498.839427460953,1090.76
2024-12-23,1056.7896903015564,688.6355812055447,1412.9741183844596,855.8
2024-12-24,1173.0860266663697,838.0403106840936,1531.2128101403248,976.12
2024-12-25,968.0921133424629,580.2208561555589,1333.260530551271,713.92
2024-12-26,735.3670041489323,335.46875796757166,1093.8802246274704,651.88
2024-12-27,866.7763333214493,494.42654041442944,1229.1134650773342,775.92
2024-12-28,683.9554273686589,309.2197246317278,1052.6810683541496,978.5
2024-12-29,1276.668287362474,915.5225093173441,1630.9244617615107,1273.4
2024-12-30,971.699125080338,574.7652323442234,1327.0033258705726,924.0
2024-12-31,776.9047682534963,401.80432570856397,1146.125411841312,1405.96
2025-01-01,1378.2005305008443,987.7205464883597,1752.8395974761215,1372.6
2025-01-02,1236.2473520254023,854.1743092043403,1610.1142948472457,1230.92
2025-01-03,1273.9565478232144,915.8342525000376,1644.6234031343915,1266.3
2025-01-04,1075.3292411673153,704.6290294463761,1422.8841630700151,1069.4
2025-01-05,1362.3925267817508,997.723939074326,1739.539528009803,1354.72
