ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-08-22,964.3764626309992,934.299741934382,2075.7409501843063,964.3764626309992,964.3764626309992,562.3818464935799,562.3818464935799,562.3818464935799,91.61504472959999,91.61504472959999,91.61504472959999,-5.751724621500694,-5.751724621500694,-5.751724621500694,476.5185263854808,476.5185263854808,476.5185263854808,0.0,0.0,0.0,1526.7583091245792
2024-08-23,965.3709031768709,1049.3723129034308,2165.189593850212,965.3709031768709,965.3709031768709,635.8047751884519,635.8047751884519,635.8047751884519,91.61504472959999,91.61504472959999,91.61504472959999,28.045595736849222,28.045595736849222,28.045595736849222,516.144134722003,516.144134722003,516.144134722003,0.0,0.0,0.0,1601.1756783653227
2024-08-24,966.3653437227426,975.6221101849407,2109.4262140029377,966.3653437227426,966.3653437227426,593.5141566017717,593.5141566017717,593.5141566017717,91.61504472959999,91.61504472959999,91.61504472959999,-52.23305297266827,-52.23305297266827,-52.23305297266827,554.1321648448402,554.1321648448402,554.1321648448402,0.0,0.0,0.0,1559.8795003245143
2024-08-25,967.359784305694,1272.942467388334,2399.720685345906,967.359784305694,967.359784305694,839.8742730408019,839.8742730408019,839.8742730408019,91.61504472959999,91.61504472959999,91.61504472959999,157.9899576766134,157.9899576766134,157.9899576766134,590.2692706345888,590.2692706345888,590.2692706345888,0.0,0.0,0.0,1807.2340573464958
2024-08-26,968.3542248886454,1105.668117057801,2262.4977753520498,968.3542248886454,968.3542248886454,714.0205211839418,714.0205211839418,714.0205211839418,91.61504472959999,91.61504472959999,91.61504472959999,-1.9207621636118004,-1.9207621636118004,-1.9207621636118004,624.3262386179538,624.3262386179538,624.3262386179538,0.0,0.0,0.0,1682.3747460725872
2024-08-27,969.3486654715966,1155.7147152185796,2261.2374476369123,969.3486654715966,969.3486654715966,723.7193936260803,723.7193936260803,723.7193936260803,91.61504472959999,91.61504472959999,91.61504472959999,-23.955784100835864,-23.955784100835864,-23.955784100835864,656.0601329973164,656.0601329973164,656.0601329973164,0.0,0.0,0.0,1693.068059097677
2024-08-28,970.343106054548,1077.7630234146363,2228.6591017822097,970.343106054548,970.343106054548,674.6585392455386,674.6585392455386,674.6585392455386,91.61504472959999,91.61504472959999,91.61504472959999,-102.17422955458163,-102.17422955458163,-102.17422955458163,685.2177240705204,685.2177240705204,685.2177240705204,0.0,0.0,0.0,1645.0016453000867
2024-08-29,971.3375466374994,1192.837728253781,2335.228438837102,971.3375466374994,971.3375466374994,797.4034624232096,797.4034624232096,797.4034624232096,91.61504472959999,91.61504472959999,91.61504472959999,-5.751724621579205,-5.751724621579205,-5.751724621579205,711.540142315189,711.540142315189,711.540142315189,0.0,0.0,0.0,1768.741009060709
2024-08-30,972.3319872204507,1246.9934719364041,2382.851890575947,972.3319872204507,972.3319872204507,854.4292888327951,854.4292888327951,854.4292888327951,91.61504472959999,91.61504472959999,91.61504472959999,28.04559573692145,28.04559573692145,28.04559573692145,734.7686483662737,734.7686483662737,734.7686483662737,0.0,0.0,0.0,1826.7612760532459
2024-08-31,973.3264278034021,1186.0212433345175,2334.423352034344,973.3264278034021,973.3264278034021,794.0333515631961,794.0333515631961,794.0333515631961,91.61504472959999,91.61504472959999,91.61504472959999,-52.23305297240971,-52.23305297240971,-52.23305297240971,754.6513598060061,754.6513598060061,754.6513598060061,0.0,0.0,0.0,1767.359779366598
2024-09-01,974.3208683863535,1421.6759504521328,2585.4329212175626,974.3208683863535,974.3208683863535,1020.5557332911989,1020.5557332911989,1020.5557332911989,91.61504472959999,91.61504472959999,91.61504472959999,157.98995767667373,157.98995767667373,157.98995767667373,770.9507308849253,770.9507308849253,770.9507308849253,0.0,0.0,0.0,1994.8766016775523
2024-09-02,975.315308969305,1264.521134770847,2406.530857702281,975.315308969305,975.315308969305,873.145825214612,873.145825214612,873.145825214612,91.61504472959999,91.61504472959999,91.61504472959999,-1.9207621638163657,-1.9207621638163657,-1.9207621638163657,783.4515426488285,783.4515426488285,783.4515426488285,0.0,0.0,0.0,1848.461134183917
2024-09-03,976.3097495522563,1324.1372213591003,2412.3909430497492,976.3097495522563,976.3097495522563,859.6283905800187,859.6283905800187,859.6283905800187,91.61504472959999,91.61504472959999,91.61504472959999,-23.955784100985003,-23.955784100985003,-23.955784100985003,791.9691299514039,791.9691299514039,791.9691299514039,0.0,0.0,0.0,1835.938140132275
2024-09-04,977.3041901352077,1223.5726303979468,2368.1863917578657,977.3041901352077,977.3041901352077,785.7983648517344,785.7983648517344,785.7983648517344,91.61504472959999,91.61504472959999,91.61504472959999,-102.17422955396414,-102.17422955396414,-102.17422955396414,796.3575496760988,796.3575496760988,796.3575496760988,0.0,0.0,0.0,1763.102554986942
2024-09-05,978.2986307181588,1325.079022893682,2410.359779679628,978.2986307181588,978.2986307181588,882.3807022936348,882.3807022936348,882.3807022936348,91.61504472959999,91.61504472959999,91.61504472959999,-5.751724621657717,-5.751724621657717,-5.751724621657717,796.5173821856927,796.5173821856927,796.5173821856927,0.0,0.0,0.0,1860.6793330117937
2024-09-06,979.2930714075094,1359.678425693774,2422.8441528852964,979.2930714075094,979.2930714075094,912.0634966164557,912.0634966164557,912.0634966164557,91.61504472959999,91.61504472959999,91.61504472959999,28.045595736573578,28.045595736573578,28.045595736573578,792.4028561502823,792.4028561502823,792.4028561502823,0.0,0.0,0.0,1891.356568023965
2024-09-07,980.2875120968597,1246.0512801959428,2346.807985935217,980.2875120968597,980.2875120968597,823.4099875876517,823.4099875876517,823.4099875876517,91.61504472959999,91.61504472959999,91.61504472959999,-52.2330529726982,-52.2330529726982,-52.2330529726982,784.02799583075,784.02799583075,784.02799583075,0.0,0.0,0.0,1803.6974996845115
2024-09-08,981.28195278621,1416.773115396596,2578.0128300417496,981.28195278621,981.28195278621,1021.0765119362035,1021.0765119362035,1021.0765119362035,91.61504472959999,91.61504472959999,91.61504472959999,157.9899576764838,157.9899576764838,157.9899576764838,771.4715095301199,771.4715095301199,771.4715095301199,0.0,0.0,0.0,2002.3584647224134
2024-09-09,982.2763934755604,1247.1494309683221,2373.9048420352738,982.2763934755604,982.2763934755604,844.5744504628175,844.5744504628175,844.5744504628175,91.61504472959999,91.61504472959999,91.61504472959999,-1.920762163869512,-1.920762163869512,-1.920762163869512,754.8801678970871,754.8801678970871,754.8801678970871,0.0,0.0,0.0,1826.850843938378
2024-09-10,983.2708341649108,1236.893198785211,2367.426182348204,983.2708341649108,983.2708341649108,802.129720939082,802.129720939082,802.129720939082,91.61504472959999,91.61504472959999,91.61504472959999,-23.95578410113416,-23.95578410113416,-23.95578410113416,734.4704603106162,734.4704603106162,734.4704603106162,0.0,0.0,0.0,1785.4005551039927
2024-09-11,984.2652748542612,1116.228606977963,2255.1685818351093,984.2652748542612,984.2652748542612,699.9691807904147,699.9691807904147,699.9691807904147,91.61504472959999,91.61504472959999,91.61504472959999,-102.17422955426333,-102.17422955426333,-102.17422955426333,710.5283656150782,710.5283656150782,710.5283656150782,0.0,0.0,0.0,1684.234455644676
2024-09-12,985.2597155436115,1184.7780646401982,2374.4446749024787,985.2597155436115,985.2597155436115,769.2704487676895,769.2704487676895,769.2704487676895,91.61504472959999,91.61504472959999,91.61504472959999,-5.7517246219150335,-5.7517246219150335,-5.7517246219150335,683.4071286600047,683.4071286600047,683.4071286600047,0.0,0.0,0.0,1754.530164311301
2024-09-13,986.2541562329618,1199.1549003423027,2297.8764237348614,986.2541562329618,986.2541562329618,773.1836352197809,773.1836352197809,773.1836352197809,91.61504472959999,91.61504472959999,91.61504472959999,28.04559573622569,28.04559573622569,28.04559573622569,653.5229947539553,653.5229947539553,653.5229947539553,0.0,0.0,0.0,1759.4377914527427
2024-09-14,987.2485969223122,1097.3013805275862,2234.0508610444913,987.2485969223122,987.2485969223122,660.7309102300406,660.7309102300406,660.7309102300406,91.61504472959999,91.61504472959999,91.61504472959999,-52.23305297270915,-52.23305297270915,-52.23305297270915,621.3489184731499,621.3489184731499,621.3489184731499,0.0,0.0,0.0,1647.9795071523529
2024-09-15,988.2430376116625,1225.3741756147422,2369.5300899623985,988.2430376116625,988.2430376116625,837.0113316374596,837.0113316374596,837.0113316374596,91.61504472959999,91.61504472959999,91.61504472959999,157.9899576766097,157.9899576766097,157.9899576766097,587.4063292312501,587.4063292312501,587.4063292312501,0.0,0.0,0.0,1825.2543692491222
2024-09-16,989.2374783010129,1071.4790907597464,2201.0290316946116,989.2374783010129,989.2374783010129,641.9493841275643,641.9493841275643,641.9493841275643,91.61504472959999,91.61504472959999,91.61504472959999,-1.9207621639226395,-1.9207621639226395,-1.9207621639226395,552.2551015618869,552.2551015618869,552.2551015618869,0.0,0.0,0.0,1631.1868624285771
2024-09-17,990.2319189903634,982.3232927603274,2141.8962707079168,990.2319189903634,990.2319189903634,584.141201673353,584.141201673353,584.141201673353,91.61504472959999,91.61504472959999,91.61504472959999,-23.9557841009449,-23.9557841009449,-23.9557841009449,516.481941044698,516.481941044698,516.481941044698,0.0,0.0,0.0,1574.3731206637162
2024-09-18,991.226483914747,902.4920517261107,2046.9364164865742,991.226483914747,991.226483914747,470.1282703319549,470.1282703319549,470.1282703319549,91.61504472959999,91.61504472959999,91.61504472959999,-102.17422955440607,-102.17422955440607,-102.17422955440607,480.68745515676113,480.68745515676113,480.68745515676113,0.0,0.0,0.0,1461.3547542467018
