"customer_id","product_id","product_variant_sku","product_title","product_variant_id","products_bought_together_ids","products_bought_together_titles","order_id","order_day","orders","gross_sales","net_sales","total_sales"
"7565800898783","4343002431565",NULL,"Starter Set","32996777132109","[4343002431565,8667880849631,8779281039583]","['Starter Set','Pocket Kit','Baby & Kids Wipe Gel']","5784972591327","2024-09-16",1,"23","23","23"
"7566695858399","4343002431565",NULL,"Starter Set","32996777132109","[4343002431565]","['Starter Set']","5785646334175","2024-09-16",1,"23","18.4","18.4"
"7565932593375","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565]","['Starter Set']","5785113493727","2024-09-16",1,"23","18.4","18.4"
"7478809460959","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565,8667880849631,8779281039583]","['Starter Set','Pocket Kit','Baby & Kids Wipe Gel']","5785736675551","2024-09-16",1,"23","18.4","18.4"
"7566786887903","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565]","['Starter Set']","5785719013599","2024-09-16",1,"23","18.4","18.4"
"7566702018783","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565,8667880849631,8727325376735]","['Starter Set','Pocket Kit','Feminine Wipe Gel - Starter Set']","5785650364639","2024-09-16",1,"23","18.4","18.4"
"7566516486367","4343002431565","WipStarterBlu","Starter Set","32996777099341","[4343002431565]","['Starter Set']","5785523749087","2024-09-16",1,"23","18.4","18.4"
"7565859225823","4343002431565",NULL,"Starter Set","32996777132109","[4343002431565]","['Starter Set']","5785046909151","2024-09-16",1,"23","18.4","18.4"
"7566810743007","4448677003341","Wip15oz","Toilet Paper Gel","39303493124173","[4448677003341,8667880849631,8727325376735]","['Toilet Paper Gel','Pocket Kit','Feminine Wipe Gel - Starter Set']","5785739690207","2024-09-16",1,"16","12.8","12.8"
"7566745600223","4343002431565",NULL,"Starter Set","32996777132109","[4343002431565]","['Starter Set']","5785683034335","2024-09-16",1,"23","23","23"
"7565998162143","4343002431565",NULL,"Starter Set","32996777132109","[4343002431565]","['Starter Set']","5785185878239","2024-09-16",1,"23","18.4","19.82"
"7478809460959","8779281039583",NULL,"Baby & Kids Wipe Gel","46253211615455","[4343002431565,8667880849631,8779281039583]","['Starter Set','Pocket Kit','Baby & Kids Wipe Gel']","5785736675551","2024-09-16",1,"16","12.8","12.8"
